"book_title","author","book_price","genre"
"Iron Flame (The Empyrean, 2)","Rebecca Yarros","18.42","Fantasy Romance"
"Fourth Wing (The Empyrean, 1)","Rebecca Yarros","16.99","Fantasy"
"A Court of Thorns and Roses (A Court of Thorns and Roses, 1)","Sarah J. Maas","8.89","Fantasy, Romance, Young Adult, Fiction, New Adult, Fae"
"House of Flame and Shadow (Crescent City, 3)","Sarah J. Maas","18.48","Fantasy, Dragons, Young Adult, Fiction, High Fantasy, Magic, Science Fiction, Fantasy"
"Murtagh: The World of Eragon (The Inheritance Cycle)","Christopher Paolini","22.48","Fantasy, Dragons, Young Adult, Fiction, High Fantasy, Magic, Science Fiction, Fantasy"
"A Court of Thorns and Roses Paperback Box Set (5 books)","Sarah J. Maas","48.77","Fantasy, Romance"
"How to Catch a Dinosaur","Adam Wallace","4.66","Picture Books, Dinosaurs, Childrens, Fiction, Storytime, Fantasy, Animals"
"Dirty Thirty (30) (Stephanie Plum)","Janet Evanovich","20.98","Dark, Thriller, Fantasy, Adult, Contemporary, Mystery, Horror"
"How to Catch an Elf","Adam Wallace","6.94","Christmas, Picture Books, Holiday, Childrens, Fantasy, Humor, Fiction"
"Haunting Adeline (Cat and Mouse Duet)","H.D. Carlton","13.36","Dark, Thriller, Fantasy, Adult, Contemporary, Mystery, Horror"
"A Court of Mist and Fury (A Court of Thorns and Roses, 2)","Sarah J. Maas","12.79","Fantasy, Romance, Young Adult, New Adult, Fiction"
"Harry Potter Paperback Box Set (Books 1-7)","J.K. Rowling","45.22","Childrens, Young Adult, Fantasy, Science Fiction &amp; Horror"
"A Court of Wings and Ruin (A Court of Thorns and Roses, 3)","Sarah J. Maas","11.56","Fantasy"
"Harry Potter and the Prisoner of Azkaban (Harry Potter, Book 3) (MinaLima Edition)","J.K. Rowling","25.97","Fantasy"
"Percy Jackson and the Olympians: The Chalice of the Gods (Percy Jackson & the Olympians)","Rick Riordan","15.63","Fantasy, Adventure, Mythology"
